Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,Longitude
2/25/13,Salt Lake,Toledo Chutes,Skier,unknown,Unknown,Unknown,Southeast,3077.82197,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/25/13,Skyline,Ephraim Canyon,Snowmobiler,1.0668,45.71022727,121.8939394,Northwest,3138.768939,0,1,Depth Hoar,1,1,0,0,Unknown,Unknown
2/24/13,Salt Lake,Two Trees,Skier,unknown,Unknown,Unknown,South,2894.981061,0,0,New Snow,0,0,0,0,40.591705,-111.657228
2/24/13,Salt Lake,Dutch Draw,Skier,0.2032,60.9469697,60.9469697,North,2620.719697,0,0,New Snow/Old Snow Interface,1,1,0,0,40.653894,-111.584873
2/24/13,Salt Lake,Tuscarora,Skier,0.4572,30.47348485,182.8409091,Southeast,3230.189394,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
2/24/13,Salt Lake,Big Cottonwood Canyon,Skier,0.3556,21.33143939,21.33143939,Northwest,2986.401515,0,0,Facets,0,0,0,0,40.59474,-111.597362
2/24/13,Salt Lake,Toledo Bowl,Snowboarder,0.254,45.71022727,91.42045455,South,3108.295455,0,0,New Snow/Old Snow Interface,1,1,0,0,40.599747,-111.64577
2/24/13,Salt Lake,Back Bowls,Skier,0.3556,38.09185606,45.71022727,Northwest,2986.401515,0,0,Facets,0,0,0,0,40.591926,-111.598005
2/23/13,Uintas,Upper Weber Canyon,Natural,0.6096,304.7348485,304.7348485,Southeast,3169.242424,0,0,Facets,0,0,0,0,40.833132,-111.07873
2/23/13,Provo,Dry Fork,Natural,0.4064,12.18939394,60.9469697,Southeast,3169.242424,0,0,New Snow,0,0,0,0,40.57739,-111.598563
2/21/13,Uintas,Duke Bowl,Skier,0.4064,45.71022727,91.42045455,Northwest,3108.295455,0,0,Facets,0,0,0,0,40.674812,-111.152029
2/19/13,Salt Lake,Red Pine Gulch,Skier,0.4572,21.33143939,45.71022727,Northwest,3047.348485,0,0,Unknown,0,0,0,0,40.540287,-111.69023
2/19/13,Salt Lake,Hogum,Skier,0.127,30.47348485,60.9469697,West,2894.981061,0,0,Unknown,1,1,0,0,Unknown,Unknown
2/19/13,Salt Lake,Hogum,Skier,0.508,30.47348485,9.142045455,East,2894.981061,0,0,Graupel,1,1,0,0,Unknown,Unknown
2/17/13,Salt Lake,Session Mountains,Snowmobiler,0.3048,12.18939394,Unknown,East,2742.613636,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/17/13,Salt Lake,Little Water,,0.127,60.9469697,213.3143939,Northeast,2925.454545,0,0,Facets,0,0,0,0,40.672046,-111.626973
2/17/13,Skyline,Seeley Creek,Natural,0.6096,45.71022727,91.42045455,East,3047.348485,0,0,Facets,0,0,0,0,39.510928,-111.298714
2/16/13,Ogden,Ogden,Skier,0.2032,21.33143939,45.71022727,East,2803.560606,0,0,Density Change,0,0,0,0,Unknown,Unknown
2/16/13,Skyline,Ephraim Canyon,Snowmobiler,0.6096,21.33143939,12.18939394,Northeast,3077.82197,0,0,Facets,0,0,0,0,39.297094,-111.460569
2/16/13,Salt Lake,Reed and Benson Ridge,Natural,0.6604,12.18939394,76.18371212,Northwest,2590.246212,0,0,Graupel,0,0,0,0,40.625249,-111.651757
2/15/13,Salt Lake,Emma Ridges,Skier,0.635,6.09469697,91.42045455,Southwest,2955.92803,0,0,Wet grains,0,0,0,0,Unknown,Unknown
2/15/13,Uintas,Currant Creek Peak,Snowmobiler,0.4572,45.71022727,91.42045455,Southeast,3199.715909,0,0,New Snow/Old Snow Interface,0,0,0,0,40.377511,-111.174431
2/14/13,Salt Lake,Maybird Gulch,Skier,0.4064,18.28409091,Unknown,East,3291.136364,0,0,New Snow/Old Snow Interface,0,0,0,0,40.546815,-111.710036
2/14/13,Skyline,Wedding Ring Ridge,Natural,0.254,60.9469697,45.71022727,Northeast,2955.92803,0,0,New Snow,0,0,0,0,39.606878,-111.291161
2/13/13,Uintas,Upper Weber Canyon,Natural,0.9144,76.18371212,91.42045455,Southeast,3199.715909,0,0,Facets,0,0,0,0,40.846151,-111.066628
2/12/13,Salt Lake,Little Superior,Skier,0.3048,9.142045455,6.09469697,Southeast,3199.715909,0,0,New Snow/Old Snow Interface,0,3,0,0,40.593002,-111.66122
2/11/13,Salt Lake,Broads Fork,Skier,unknown,Unknown,Unknown,Northwest,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/10/13,Salt Lake,Blue Ice,Natural,1.524,76.18371212,137.1306818,Northeast,2894.981061,0,1,Ground Interface,2,2,1,0,40.599291,-111.719112
2/5/13,Provo,Lost Creek,Natural,0.3048,12.18939394,609.469697,East,2955.92803,0,0,Facets,0,0,0,0,40.362118,-111.625707
2/5/13,Logan,Bullen Basin,Unknown,0.9144,60.9469697,137.1306818,Southeast,2894.981061,0,0,Facets,0,0,0,0,41.917888,-111.67448
2/3/13,Salt Lake,Silver Fork Headwall,Skier,0.762,60.9469697,106.657197,North,3016.875,1,1,Facets,1,1,0,0,40.599356,-111.625471
2/3/13,Salt Lake,No Name Bowl,Skier,0.4572,24.37878788,91.42045455,Northwest,2712.140152,0,1,Facets,1,1,0,0,40.637534,-111.563587
2/3/13,Logan,South Tony Grove,Snowmobiler,0.6096,76.18371212,91.42045455,Northeast,2559.772727,0,0,Facets,0,0,0,0,41.888189,-111.641092
2/3/13,Logan,"Mt. Magog, South Ridge",Natural,0.6096,30.47348485,137.1306818,East,2803.560606,0,0,Facets,0,0,0,0,41.913072,-111.653194
2/3/13,Uintas,Millcreek,Snowmobiler,0.4064,30.47348485,45.71022727,Northeast,3352.083333,0,0,Facets,0,0,0,0,40.855013,-110.707083
2/3/13,Uintas,Whitney Basin,Snowmobiler,0.6096,106.657197,152.3674242,Northeast,3230.189394,0,0,Facets,0,0,0,0,40.804942,-110.953074
2/3/13,Uintas,Whitney Basin,Snowmobiler,0.9144,30.47348485,76.18371212,Northeast,3047.348485,0,0,Facets,0,0,0,0,40.87069,-110.970068
2/3/13,Provo,Y-Not,Snowboarder,0.9144,91.42045455,Unknown,East,3108.295455,0,0,Facets,1,1,0,0,40.536829,-111.639333
2/2/13,Skyline,Seeley Creek,Snowmobiler,0.6096,91.42045455,91.42045455,Northeast,3138.768939,0,0,Facets,0,0,0,0,39.513146,-111.300302
2/2/13,Skyline,Seeley Creek,Snowmobiler,0.6096,60.9469697,121.8939394,Northeast,3169.242424,0,0,Facets,0,0,0,0,39.51457,-111.302533
2/2/13,Provo,Box Elder,Skier,0.6096,15.23674242,24.37878788,East,2864.507576,0,0,Facets,0,0,0,0,40.503129,-111.694307
2/2/13,Provo,Timponooke Glades,Skier,0.6096,45.71022727,152.3674242,North,2773.087121,0,0,Facets,0,0,0,0,40.430224,-111.657486
2/2/13,Salt Lake,upper Days,Skier,0.762,15.23674242,60.9469697,Northwest,3016.875,0,0,Facets,0,1,0,0,40.601181,-111.63517
2/2/13,Skyline,Niotche Creek,Snowmobiler,0.762,38.09185606,121.8939394,Northeast,3169.242424,0,0,Facets,0,0,0,0,38.73621,-111.65916
2/2/13,Skyline,Niotche Creek,Snowmobiler,0.9144,60.9469697,152.3674242,Northeast,3169.242424,0,0,Facets,0,0,0,0,38.737013,-111.660018
2/2/13,Provo,Ant Knolls,Snowmobiler,0.6096,60.9469697,Unknown,East,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/2/13,Uintas,Millcreek,Snowmobiler,0.3048,38.09185606,60.9469697,Southeast,3230.189394,0,0,Facets,0,0,0,0,40.865627,-110.707383
2/2/13,Salt Lake,Eeeny Meeny Miny Moe,Skier,0.9144,60.9469697,609.469697,North,3016.875,0,1,Facets,1,1,1,0,40.604146,-111.707654
2/2/13,Skyline,Seeley Creek,Snowmobiler,0.6096,30.47348485,91.42045455,East,3077.82197,0,0,Facets,0,0,0,0,39.509901,-111.296611
2/1/13,Skyline,Skyline,Snowmobiler,unknown,Unknown,Unknown,East,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/1/13,Provo,Mill Canyon Peak,Unknown,0.6096,76.18371212,Unknown,North,2742.613636,0,0,Facets,0,0,0,0,40.496831,-111.568737
2/1/13,Ogden,Weber Canyon,Natural,0.3048,12.18939394,304.7348485,North,1767.462121,0,0,Ground Interface,0,0,0,0,41.133514,-111.886868
2/1/13,Salt Lake,Mill B South,Unknown,0.762,91.42045455,182.8409091,Northeast,2986.401515,0,0,Unknown,0,0,0,0,40.597988,-111.683578
2/1/13,Provo,Dry Fork,Snowmobiler,0.762,60.9469697,Unknown,East,3108.295455,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/1/13,Skyline,Lake Canyon,Snowmobiler,0.762,91.42045455,30.47348485,East,2955.92803,0,0,Density Change,0,0,0,0,39.589022,-111.302447
2/1/13,Ogden,Monte Cristo,Snowmobiler,1.2192,121.8939394,76.18371212,Southeast,2651.193182,1,0,Facets,1,1,0,0,Unknown,Unknown
2/1/13,Salt Lake,No Name Bowl,Unknown,0.381,53.32859848,Unknown,North,2925.454545,0,0,Facets,0,0,0,0,40.63401,-111.561935
2/1/13,Salt Lake,No Name Bowl,Unknown,0.381,45.71022727,Unknown,North,2894.981061,0,0,Facets,0,0,0,0,40.63401,-111.561549
2/1/13,Logan,Box Elder Peak,Natural,unknown,Unknown,Unknown,East,2742.613636,0,0,Facets,0,0,0,0,41.634498,-112.010851
